,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
118,0.63700002,NAM,SubSaharian,4521.29,,6.5,3.05289626121521,,
140,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,7.0,2.449350833892822,7.7750000953674325,51.84904861450195
149,0.565,STP,SubSaharian,2150.55,,7.9000000953674325,,3.7568199634552,64.42681121826172
102,0.51099998,MDG,SubSaharian,822.62,,6.0999999046325675,2.968793392181397,2.0820400714874268,31.08041000366211
95,0.495,LSO,SubSaharian,1539.79,,7.4000000953674325,4.053547382354736,,35.21265029907227
82,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,2.0,3.736852645874023,4.079850196838379,95.72698974609376
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,2.799999952316284,3.578998565673828,4.089019775390625,
20,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985597,99.57335662841795
123,0.91299999,NZL,WesternDem,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019531
60,0.47,DJI,SubSaharian,2685.5,,5.800000190734862,,,
64,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,2.099999904632568,5.241913795471191,4.952189922332764,
27,0.79799998,BLR,EastEurope,17780.641,9.468000411987305,3.4000000953674316,,4.990439891815186,99.46544647216795
61,0.69400001,GAB,SubSaharian,14525.28,,5.5,2.875664710998535,2.666169881820679,
73,0.62300003,HND,LatAm,3303.1399,,6.9000000953674325,3.1801576614379883,5.86775016784668,49.259361267089844
176,0.72299999,TUN,NorthAfrica,6912.2798,,5.5,3.721023797988892,6.2503600120544425,
70,0.414,GIN,SubSaharian,993.8300199999999,11.74499988555908,7.199999809265138,2.425785064697266,3.2081699371337886,31.78817939758301
67,0.86500001,GRC,WesternDem,25295.27,10.927000045776369,3.7999999523162837,2.999258995056152,,95.0673828125
138,0.84100002,PRT,WesternDem,23744.631,10.40100002288818,2.200000047683716,4.273322582244873,5.125589847564697,93.03502655029295
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,7.800000190734862,4.644126892089844,1.9256600141525269,85.42613983154297
69,0.63700002,GTM,LatAm,4438.0,,6.699999809265138,2.693367958068848,2.9417400360107417,46.71841812133789
85,0.90200001,JPN,EastAsia,36123.77,127.12000274658199,2.5999999046325684,4.430102348327637,3.591840028762817,99.04267120361328
40,0.58999997,COG,SubSaharian,2369.8401,,6.800000190734862,,,
97,0.42699999,LBR,SubSaharian,488.26999000000006,,6.5999999046325675,3.472222328186035,2.757560014724731,
12,0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,7.5,3.293149709701538,1.9572600126266482,57.23989868164063
139,0.42100000000000004,GNB,SubSaharian,961.26001,,8.5,,2.173130035400391,
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,5.699999809265138,2.659119129180908,,48.25643920898438
30,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,2.200000047683716,5.245896816253662,5.281219959259033,
157,0.67799997,VNM,SouthEastAsia,4147.5698,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,
15,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,1.8999999761581419,5.328890800476074,6.5851402282714835,95.2855987548828
119,,NRU,Pacific,3130.47,0.0120000001043081,,,,71.94534301757812
166,0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,6.9000000953674325,3.79865288734436,7.049990177154541,36.21157836914063
26,0.40599999,BDI,SubSaharian,663.5700099999999,,6.800000190734862,2.595248937606812,5.416419982910156,24.94817924499512
125,0.35100001,NER,SubSaharian,644.53998,,6.9000000953674325,,6.709410190582275,15.665040016174322
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,,,
68,0.75099999,GRD,Caribbean,8314.5596,,8.399999618530272,,,82.3596420288086
170,0.625,TJK,EastEurope,3592.6499,8.131999969482424,6.300000190734862,3.8404254913330083,5.232150077819824,83.22482299804688
155,0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,
144,0.493,RWA,SubSaharian,1440.39,10.19999980926514,7.5,4.0375962257385245,3.7974600791931152,27.23918914794922
109,0.77899998,MUS,SubSaharian,10944.54,1.261000037193298,4.199999809265137,4.234806537628174,4.91772985458374,83.88175964355469
127,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,1.6000000238418581,5.048264026641847,7.373290061950684,95.2019271850586
24,0.792,BGR,EastEurope,13967.45,7.202000141143799,4.599999904632568,3.387006282806397,4.061970233917236,88.16580963134766
65,0.57499999,GHA,SubSaharian,2584.6001,,7.5999999046325675,3.8389039039611816,6.178549766540527,51.05852890014648
14,0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,5.400000095367432,5.0402259826660165,6.573299884796143,99.42874908447266
130,0.78299999,PLW,Pacific,9392.5996,0.0179999992251396,,,,70.16300201416016
141,0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,3.0999999046325684,5.8205223083496085,3.6071898937225337,72.4646224975586
137,0.852,POL,EastEurope,19990.939,38.01800155639648,4.400000095367432,3.566189289093018,4.911749839782715,92.548828125
161,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,8.0,4.20008134841919,8.429329872131348,44.23696899414063
47,0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,6.800000190734862,2.39393949508667,4.3206801414489755,44.96981811523438
43,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.5,3.225566625595093,4.5816001892089835,92.67062377929688
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,6.4000000953674325,1.874972462654114,,
76,0.61500001,IND,SouthAsia,4256.79,,5.5,4.156626701354981,3.842360019683838,61.75524139404297
191,0.70200002,WSM,Pacific,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984
92,0.662,KGZ,EastEurope,3010.24,5.894999980926514,6.4000000953674325,2.8536891937255864,5.527379989624023,80.17756652832031
186,0.91799998,USA,WesternDem,47769.699,318.7890014648438,1.5,4.5645713806152335,5.380780220031738,90.46228790283205
160,0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,
57,0.73400003,FJI,Pacific,3848.72,0.8799999952316284,7.5999999046325675,,3.882889986038208,83.38211059570312
39,0.498,COM,SubSaharian,972.35999,0.7760000228881836,7.800000190734862,,4.868619918823242,43.934471130371094
183,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672
151,0.491,SEN,SubSaharian,1527.99,,7.4000000953674325,3.760167360305786,7.396200180053711,
